,0
b0001,0.0115798340641767
b0002,0.0735811316177336
b0003,0.2548336457194071
b0004,0.147392470984032
b0005,0.4560043224114191
b0012,0.3084078002616063
b0014,0.4042297991012714
b0015,0.4214413190518393
b0019,-2.2431214891719367
b0020,1.6676132340019034
b0025,-0.0503975206477036
b0026,0.0661620264923949
b0027,0.0628398148164507
b0028,-0.0614810364691507
b0029,-0.0116604185215727
b0031,-0.5370244095272364
b0032,-0.2974940619623792
b0033,-0.1703229344868262
b0034,0.3627751969475916
b0035,-0.076189664832782
b0036,0.1254611506336926
b0037,-0.0999943700246587
b0038,0.3192407742597918
b0039,0.2503389420570218
b0040,0.3151510738871194
b0041,0.2097763872160704
b0042,0.0036479731844949
b0043,-0.0337141819140715
b0045,0.0177207152193283
b0048,0.8179947328389033
b0049,1.4118490485021946
b0050,0.6678659759001112
b0051,0.4738456212687429
b0052,0.9405514441405098
b0053,0.4727711075688384
b0054,0.1216414179056259
b0057,0.1622444880595396
b0058,-0.0531522543872605
b0059,0.2510320714914387
b0060,0.6378736977499974
b0061,-0.0235596547921824
b0062,0.971845777476652
b0063,-0.7044944761012498
b0064,0.8283459986187832
b0065,0.1888352570025192
b0066,-0.1481515631162282
b0067,-0.0557606897215638
b0068,0.0484223472459786
b0069,-0.0131154517378163
b0070,-0.2748095132697088
b0071,-0.2912731280702166
b0072,-0.4557612194456077
b0073,-0.5341702982376856
b0074,0.1877187949719065
b0075,0.8814431969203621
b0076,0.6403031569610881
b0077,0.0204349437669956
b0078,0.018627983302761
b0080,-0.0596384152541025
b0081,0.133863504948188
b0082,0.133035570525921
b0083,0.110600743005414
b0084,0.095730024697834
b0085,0.1308694170109738
b0086,0.132037793161258
b0087,0.1444563808239438
b0088,0.1431382124243427
b0089,0.1405179775784614
b0090,0.0969664092084549
b0091,0.1250147361900681
b0092,0.1037321905073724
b0093,0.1438499300967633
b0094,0.1122354305001397
b0095,-0.0469695384624414
b0096,0.9439728294767726
b0106,-0.4912104209059267
b0107,-0.0142693132776076
b0108,0.8295721276715743
b0109,0.3601528852983861
b0110,-0.2084921904834798
b0111,-0.4791348703449335
b0112,0.7078665677323994
b0113,0.193967360264245
b0114,-0.1079392911379284
b0115,0.1317858919920107
b0116,0.0812762132043621
b0117,0.5278812322178891
b0118,0.0072220064983512
b0119,0.6167266270609267
b0120,-0.0535311270847123
b0121,0.0005181083644501
b0122,-0.0036882598454955
b0123,0.2238003778985871
b0124,1.8126701705685
b0125,1.1985269112423618
b0126,0.0490551674003978
b0131,0.0682802171490533
b0133,0.1680824276150309
b0134,0.0723684891127625
b0135,0.2480063300807322
b0136,0.1836917920639741
b0137,0.4325769214981787
b0138,0.1134826762728016
b0139,-0.2120522504287161
b0141,0.7432308631944048
b0142,0.1497194375381284
b0143,0.1930859283355487
b0144,-0.0053002460331177
b0145,-0.0959693643682274
b0146,0.9929316195471536
b0150,0.1438854557617655
b0151,0.04297498512097
b0152,0.0253607580281113
b0153,0.0463102213672469
b0154,0.0627995215159575
b0156,0.0552422043681432
b0157,0.0941887035225453
b0158,0.1102062953424843
b0159,0.0568101151143527
b0161,0.7566848835781992
b0162,0.3836370085482174
b0166,-0.2865526965129552
b0167,0.4593985671334641
b0168,0.0544390871471309
b0169,0.647955846685232
b0170,0.5856656486578276
b0171,-0.1667495880658713
b0172,-0.0750642286820775
b0176,0.9988107830475632
b0177,0.5180083928615583
b0178,0.3397193825606747
b0179,0.4694070401708567
b0180,0.6711345091201427
b0181,0.5834702044160015
b0182,0.4766988025920676
b0183,0.6762445662221507
b0184,0.6519035017081604
b0185,-0.0190189597598827
b0186,0.1332460575963068
b0189,0.7030930001829546
b0190,0.3997793174708491
b0191,0.2940267083982747
b0192,0.0786711822646287
b0193,0.332692539253033
b0194,-0.1001925122949574
b0197,0.0699969184740048
b0198,0.1051004741468989
b0199,0.1215322463459556
b0201,0.9704688354702
b0204,0.9205988672589144
b0207,-0.2283809337737692
b0208,0.3613080250239534
b0209,-0.0473705833121349
b0210,0.303788898009745
b0211,0.9321717618320824
b0216,0.1133747673193802
b0218,0.6638915069314851
b0219,0.0935704790761158
b0220,0.4682944234328831
b0221,0.6678939681317351
b0222,0.1268773619664166
b0224,0.8479602700008447
b0225,-2.573472221485309
b0226,1.041916293093634
b0231,-0.3790174656310367
b0232,-0.6955255884772618
b0233,-1.5499286573874118
b0234,-1.9271839411788008
b0237,0.1260203121382496
b0238,0.1726987123713502
b0273,0.6006158266364086
b0277,0.844078450850199
b0330,0.282624231034035
b0336,0.9015217842094756
b0353,0.0005013020285341
b0355,-0.1993518209206156
b0356,0.1041372808721885
b0364,0.8303399385911512
b0365,0.1622653459658221
b0366,-0.5648468459493062
b0367,-0.7157350489678218
b0368,-0.1666826235854346
b0369,0.467777982703761
b0377,0.36922559188506
b0378,0.3829078505296993
b0379,0.0804729833802415
b0380,0.1885844883135307
b0381,0.8974356677459039
b0382,0.360479232687298
b0383,0.0409594810132813
b0384,0.9050471633001914
b0385,0.329062811655547
b0388,0.0302684733269862
b0389,0.951070797677528
b0390,0.0200321209293093
b0392,0.7825299083670099
b0396,1.1285538593109945
b0397,-0.1111384055492555
b0398,-0.613622336255035
b0399,-0.2740942863000124
b0400,-0.9754135592069564
b0401,0.4529266428202723
b0402,0.5190072848586705
b0403,0.1944661113884138
b0405,0.040240943790697
b0410,0.3608772925842277
b0411,0.0358937127418437
b0413,-0.0527195884997137
b0414,0.0159676738676641
b0415,0.0519186032946507
b0416,-0.3568465235336154
b0417,-0.1056847030316308
b0418,0.0466450273501136
b0419,0.7156370135451988
b0420,-0.0727603274099287
b0421,-0.1100602898279078
b0422,-0.0306011713804026
b0428,0.2103264026139334
b0429,0.2771165129546653
b0430,0.0854345755075149
b0431,0.0848003023727831
b0432,0.2765560076091855
b0433,-0.1219499818381338
b0434,-0.0546956068548144
b0435,0.5296487303541789
b0437,-4.467092266053833
b0438,-0.0476863356103221
b0439,-3.812052210184613
b0440,-0.7152336490235663
b0441,0.1109761054489076
b0443,-0.8218902338284463
b0447,-5.087879672153493
b0450,-0.1504620046756797
b0451,0.0086618663577928
b0460,-0.1835794828680671
b0461,0.775254616343908
b0462,-0.1650812705308086
b0463,-0.2705824477675032
b0464,-0.0536375154098046
b0465,0.6443575933097975
b0466,0.6226743839427257
b0467,0.538835851930168
b0468,0.5259590919855224
b0469,0.4045847856714704
b0471,0.9454822167949674
b0472,0.927702842089911
b0473,-1.2060613047928923
b0475,-0.4589623440833472
b0477,-0.1147658940142953
b0478,0.681672422593683
b0484,0.4048856902724158
b0485,-0.0525532099599319
b0486,-0.044554228383767
b0492,0.4560800121824276
b0497,0.0469933241433347
b0498,0.3190351591294508
b0499,0.4128691793201367
b0501,0.3599710712146642
b0504,0.5548557575774729
b0505,0.7603616450153176
b0506,0.034629343137222
b0507,3.3863079987465494
b0508,5.482668526574835
b0509,5.212778576963856
b0511,4.230570391600807
b0512,3.462875950060144
b0513,5.042531540042799
b0514,3.1508535859322047
b0515,0.2404206303964408
b0516,0.1763974679631316
b0517,0.2718966609878547
b0522,-0.1212405502287779
b0523,-0.0291373792302046
b0524,0.91123887940912
b0525,0.9331514718898828
b0526,0.9445572833677488
b0536,0.4430587809103773
b0537,0.6297804992147649
b0544,0.6117378326296777
b0553,0.0389593221820899
b0554,0.3522868040737805
b0555,1.079459628280279
b0556,1.032736775484486
b0557,-1.1148988289895752
b0558,0.6740003786573275
b0564,0.7331718790741673
b0565,-2.0078521893466137
b0566,0.1521080080600607
b0568,0.7399184514885976
b0569,0.7445745543887227
b0570,0.1260436882603144
b0571,0.1284018582824151
b0572,-0.0614745792202568
b0573,0.0192340259321533
b0574,0.0681378180526309
b0575,-0.0542954487250509
b0576,-0.0861661366524682
b0577,0.5238684831715169
b0578,-0.5792651243098885
b0579,0.1418006193542076
b0581,0.1179701272208469
b0583,0.1779826936409266
b0584,0.109432371011625
b0585,0.981058863684236
b0586,1.0472931426992782
b0587,0.729661377900022
b0588,-0.0096353266366247
b0589,0.0174577895578131
b0590,0.227513939610422
b0591,0.3326709110716531
b0592,0.4518208735547943
b0593,0.2580824921313199
b0594,0.2320050769716168
b0595,0.4078664216799116
b0596,0.3623299861979485
b0597,0.3214266647314398
b0598,0.523533961659583
b0600,0.1026317928766364
b0602,0.4238764788322277
b0604,0.3366053571686794
b0605,0.9258281116725104
b0606,-0.4639044493519683
b0607,0.1425268512113822
b0608,0.1111728205241624
b0613,0.6821703141880691
b0614,0.2004220731005249
b0615,-0.0279721498506282
b0616,0.0297671774761729
b0617,0.0523582602539747
